,nyt_name,critics_pick,nyt_stars
0,Davelle,y,
1,Lahi,,
2,Don Angie,y,2
4,Rangoon Spoon,,
5,Wokuni,,1
6,Em,y,
7,Simon & the Whale,y,2
8,Lamoon,y,
9,Soogil,y,2
10,Bab Marrakech,y,
11,La Mercerie,y,2
13,Luda’s Dumplings,y,
14,Ho Foods,,
16,Claro,y,2
18,Chez Ma Tante,y,2
19,Ejen,,
22,Cienega Las Tlayudas de Oaxaca,y,
23,DaDong,,satisfactory
25,L’Atelier de Joël Robuchon,y,2
26,Belarussian Xata,y,
27,Tetsu,y,
29,Taqueria El Sinaloense,,
30,Hwa Yuan Szechuan,y,2
31,Kebab Empire,,
32,"The Aviary NYC, The Office NYC",y,2
34,Serengeti Kitchen,y,
35,The Lobster Club,,1
36,Happy Stony Noodle,,
37,Martina,,1
38,Pasta Flyer,,1
39,Cafe Booqoo,,
41,Amdo Kitchen,y,
42,Potala,y,
43,Ferris,y,2
44,Saint Peter,y,
45,The Loyal,y,2
47,Wallsé,,1
48,Uncle Boons Sister,y,
50,Jeju Noodle Bar,y,
51,Khao Nom,,
52,Ugly Baby,y,2
53,Tito Rad’s Grill,y,
55,AbuQir Seafood,y,
56,Cote,y,2
57,Joomak,,
58,PappaRich,y,
59,Sen Sakana,,1
60,Margarita’s,y,
61,Momofuku Ssam Bar,y,3
63,Boishakhi,y,
64,Yuan,,
65,The Pool,,2
66,Benyam,y,
67,Public Kitchen,,1
68,My Cuban Spot,y,
70,Kopi Kopi,,
71,Warung Selasa,y,
72,Cervo’s,y,1
73,Wu’s Wonton King,y,
74,Prune,y,2
75,Tradita,,
76,Razza,y,3
77,Prontito,y,
78,While in Kathmandu,y,
79,Sami’s Kabab House,,
80,The Grill,y,3
81,Factory Tamal,,
82,Made Nice,,satisfactory
83,Nur,y,2
84,Guan Fu Sichuan,y,3
85,Playground,y,
86,Atla,y,2
87,969 NYC Coffee,,
88,Hanoi House,y,
89,Madame Vo,y,
90,Little Tong Noodle Shop,y,2
91,King Tut Pie,y,
92,ABCV,y,2
93,Empellón,y,3
94,Queens Night Market,y,
95,Don Peppe,y,1
96,Tama,y,
97,Bep Ga,,
98,King,y,2
99,Western Yunnan Crossing Bridge Noodle,y,
100,Pinch Chinese,y,1
101,Tim Ho Wan,y,1
102,Awang Kitchen,y,
103,Italienne,,1
104,Hi-Collar,y,
105,Pig Bleecker,y,1
106,Caffé Lanka,,
107,Atoboy,y,2
108,La Esquina del Camarón Mexicano,y,
109,Loring Place,y,2
110,Together,,
111,Union Square Cafe,y,3
112,La Roja de Todos,,
113,Wafa’s Express,y,
114,Torishin,y,3
