index,delete,id,isclosed,rating,reviewcount,y_price,wrong,notes,correct_url
0,,PwrYnl3j3YCGzILX_5UHpw,FALSE,4,47,$$,,,
1,,kDqW1eeZEDTitXerwzwCzw,FALSE,4,34,$$,,,https://www.yelp.com/biz/lahi-elmhurst
2,,h37t9rA06Sr4EetJjKrfzw,FALSE,4.5,126,$$$,,,
3,y,,,,,,y,australia,
4,,chdmH_y3YReZgIlNzj8djQ,FALSE,3.5,55,$$,,,
5,,D6ZEcG1FCZ18nekMWrhgMg,FALSE,4,60,$$$,,,
6,,OMu9_FqiziCCHD-SsMBUrQ,FALSE,4,118,$$,,,
7,,B2EVXQCqfzludPiWWuZ8ag,FALSE,4,57,$$,,,
8,,PPQSf_1JWkbjFHi1S0nSNA,FALSE,4.5,68,$$,,,
9,,q-QEwZi32JCnjb7zbY-PQw,FALSE,4,53,$$$,,,
10,,rv1BzvAMwSQkHRh6YJj9oA,FALSE,4,22,$$,,,
11,,GBJOu9Rk4JqqWjB8ddYudw,FALSE,3,49,$$,,,
12,y,raTzCe-LoOp7_2TZpAWZbQ,FALSE,5,29,,y,australia,
13,n,s0eEllkQhTezPpIWZsQGxg,FALSE,4.5,75,$,y,link already fixed,
14,,rBUTVjRs5CcEMe3dfVRZJQ,FALSE,4.5,101,$$,,,
15,y,1A10xZxpkxqCWgxq0nhVSQ,TRUE,4.5,13,$$,y,australia,
16,,FXgSgiLg6xgOO8zrG51mzg,FALSE,4,66,$$,,,
17,y,,,,,,y,australia,
18,,U2EvUcS9KtXDv_Yw3cugiw,FALSE,4.5,61,$$,,,
19,,5DubGsDTQYkdNf4nEYsfag,FALSE,4.5,18,$$,,,
20,y,,FALSE,4.5,1702,$$,y,australia,
21,y,,,,,,y,,
22,,XI8c4klXYX0b3MV8n8Kteg,FALSE,4.5,23,$,,,
23,,NZb6ILmE0p4gQ5harzrAvA,FALSE,3,392,$$$$,,,
24,y,,,,,,y,australia,
