,nyt_name,nyt_link,id,rating,,y_price
0,Davelle,https://www.nytimes.com/2018/06/07/dining/davelle-review-lower-east-side.html?rref=collection%2Fcollection%2Frestaurant-guide,PwrYnl3j3YCGzILX_5UHpw,4,,
1,Lahi,https://www.nytimes.com/2018/05/31/dining/lahi-elmhurst-queens-review.html?rref=collection%2Fcollection%2Frestaurant-guide,kDqW1eeZEDTitXerwzwCzw,4,,$$
2,Don Angie,https://www.nytimes.com/2018/05/29/dining/don-angie-review.html?rref=collection%2Fcollection%2Frestaurant-guide,h37t9rA06Sr4EetJjKrfzw,4.5,,
3,Rangoon Spoon,https://www.nytimes.com/2018/05/24/dining/rangoon-spoon-gravesend-review.html?rref=collection%2Fcollection%2Frestaurant-guide,,,,
4,Wokuni,https://www.nytimes.com/2018/05/22/dining/wokuni-sushi-japanese-restaurant.html?rref=collection%2Fcollection%2Frestaurant-guide,chdmH_y3YReZgIlNzj8djQ,3.5,,
5,Em,https://www.nytimes.com/2018/05/17/dining/em-vietnamese-bensonhurst-review.html?rref=collection%2Fcollection%2Frestaurant-guide,D6ZEcG1FCZ18nekMWrhgMg,4,,
6,Simon & the Whale,https://www.nytimes.com/2018/05/15/dining/simon-and-the-whale-restaurant-review-flatiron.html?rref=collection%2Fcollection%2Frestaurant-guide,OMu9_FqiziCCHD-SsMBUrQ,4,,
7,Lamoon,https://www.nytimes.com/2018/05/10/dining/lamoon-review-elmhurst.html?rref=collection%2Fcollection%2Frestaurant-guide,B2EVXQCqfzludPiWWuZ8ag,4,,
8,Soogil,https://www.nytimes.com/2018/05/08/dining/soogil-review-east-village.html?rref=collection%2Fcollection%2Frestaurant-guide,PPQSf_1JWkbjFHi1S0nSNA,4.5,,
9,Bab Marrakech,https://www.nytimes.com/2018/05/03/dining/bab-marrakech-review-brooklyn.html?rref=collection%2Fcollection%2Frestaurant-guide,q-QEwZi32JCnjb7zbY-PQw,4,,
10,La Mercerie,https://www.nytimes.com/2018/05/01/dining/la-mercerie-review-soho.html?rref=collection%2Fcollection%2Frestaurant-guide,rv1BzvAMwSQkHRh6YJj9oA,4,,
11,Luda’s Dumplings,https://www.nytimes.com/2018/04/26/dining/ludas-dumplings-review-brooklyn.html?rref=collection%2Fcollection%2Frestaurant-guide,GBJOu9Rk4JqqWjB8ddYudw,3,,
12,Ho Foods,https://www.nytimes.com/2018/04/19/dining/ho-foods-review-east-village.html?rref=collection%2Fcollection%2Frestaurant-guide,raTzCe-LoOp7_2TZpAWZbQ,5,,
13,Claro,https://www.nytimes.com/2018/04/03/dining/claro-review-brooklyn-oaxacan.html?rref=collection%2Fcollection%2Frestaurant-guide,s0eEllkQhTezPpIWZsQGxg,4.5,,
14,Chez Ma Tante,https://www.nytimes.com/2018/03/27/dining/chez-ma-tante-review-brookyn.html?rref=collection%2Fcollection%2Frestaurant-guide,rBUTVjRs5CcEMe3dfVRZJQ,4.5,,
15,Ejen,https://www.nytimes.com/2018/03/22/dining/ejen-review-korean.html?rref=collection%2Fcollection%2Frestaurant-guide,1A10xZxpkxqCWgxq0nhVSQ,4.5,,
16,Cienega Las Tlayudas de Oaxaca,https://www.nytimes.com/2018/03/15/dining/cienega-review-corona.html?rref=collection%2Fcollection%2Frestaurant-guide,FXgSgiLg6xgOO8zrG51mzg,4,,
17,DaDong,https://www.nytimes.com/2018/03/06/dining/dadong-review-midtown-chinese-peking-duck.html?rref=collection%2Fcollection%2Frestaurant-guide,,,,
18,L’Atelier de Joël Robuchon,https://www.nytimes.com/2018/02/27/dining/latelier-de-joel-robuchon-review.html?rref=collection%2Fcollection%2Frestaurant-guide,U2EvUcS9KtXDv_Yw3cugiw,4.5,,
19,Belarussian Xata,https://www.nytimes.com/2018/02/22/dining/belarussian-xata-review-sheepshead-bay.html?rref=collection%2Fcollection%2Frestaurant-guide,5DubGsDTQYkdNf4nEYsfag,4.5,,
20,Tetsu,https://www.nytimes.com/2018/02/20/dining/tetsu-review-tribeca-masayoshi-takayama.html?rref=collection%2Fcollection%2Frestaurant-guide,,4.5,,
21,Taqueria El Sinaloense,https://www.nytimes.com/2018/02/15/dining/taqueria-el-sinaloense-review-mexican-queens.html?rref=collection%2Fcollection%2Frestaurant-guide,,,,
22,Hwa Yuan Szechuan,https://www.nytimes.com/2018/02/13/dining/hwa-yuan-szechuan-review-chinese-food.html?rref=collection%2Fcollection%2Frestaurant-guide,XI8c4klXYX0b3MV8n8Kteg,4.5,,
23,Kebab Empire,https://www.nytimes.com/2018/02/08/dining/kebab-empire-review.html?rref=collection%2Fcollection%2Frestaurant-guide,NZb6ILmE0p4gQ5harzrAvA,3,,
24,"The Aviary NYC, The Office NYC",https://www.nytimes.com/2018/02/06/dining/grant-achatz-office-aviary-review.html?rref=collection%2Fcollection%2Frestaurant-guide,,,,
25,Serengeti Kitchen,https://www.nytimes.com/2018/02/01/dining/serengeti-kitchen-review.html?rref=collection%2Fcollection%2Frestaurant-guide,JUGgD5WXc8eU5MoBKrfSGA,4.5,,
26,The Lobster Club,https://www.nytimes.com/2018/01/30/dining/the-lobster-club-review.html?rref=collection%2Fcollection%2Frestaurant-guide,,4.5,,
27,Happy Stony Noodle,https://www.nytimes.com/2018/01/25/dining/happy-stony-noodle-review-queens.html?rref=collection%2Fcollection%2Frestaurant-guide,hQk1KtjFpixNv4UWyi0VAQ,3.5,,
28,Martina,https://www.nytimes.com/2018/01/23/dining/pasta-flyer-martina-review.html?rref=collection%2Fcollection%2Frestaurant-guide,ga6sRtE0l85iftw_5-W84Q,4,,
29,Pasta Flyer,https://www.nytimes.com/2018/01/23/dining/pasta-flyer-martina-review.html?rref=collection%2Fcollection%2Frestaurant-guide,X5sTOOvtKgZHd5F6-Usr6g,5,,
30,Cafe Booqoo,https://www.nytimes.com/2018/01/18/dining/cafe-booqoo-review-brooklyn.html?rref=collection%2Fcollection%2Frestaurant-guide,qH8PVeddtVs9cKN2pwgdkQ,4,,
31,Amdo Kitchen,https://www.nytimes.com/2018/01/16/dining/amdo-kitchen-review-potala-momo.html?rref=collection%2Fcollection%2Frestaurant-guide,JCewNUA2d-CHcVwz8ZbqlA,4.5,,
32,Potala,https://www.nytimes.com/2018/01/16/dining/amdo-kitchen-review-potala-momo.html?rref=collection%2Fcollection%2Frestaurant-guide,7NInwhLvL6pghm_wod2FCw,3.5,,$$$$
33,Ferris,https://www.nytimes.com/2018/01/09/dining/ferris-review-chelsea.html?rref=collection%2Fcollection%2Frestaurant-guide,TYKqS9eoC4xiixTNP_xsMQ,3.5,,
35,The Loyal,https://www.nytimes.com/2017/12/26/dining/the-loyal-review-nyc.html?rref=collection%2Fcollection%2Frestaurant-guide,#NAME?,4,,
36,Wallsé,https://www.nytimes.com/2017/12/19/dining/wallse-review-austrian-restaurant.html?rref=collection%2Fcollection%2Frestaurant-guide,7kgvqVnlsigUNuDWQaEggg,3.5,,
37,Uncle Boons Sister,https://www.nytimes.com/2017/12/14/dining/uncle-boons-sister-review-thai-food-nyc.html?rref=collection%2Fcollection%2Frestaurant-guide,CGah1h1clhuptjHaecu6xw,4,,
38,Jeju Noodle Bar,https://www.nytimes.com/2017/12/05/dining/jeju-noodle-bar-review-korean-ramen.html?rref=collection%2Fcollection%2Frestaurant-guide,ugj4h67GK9hcvKgEIy5Tew,3.5,,
39,Khao Nom,https://www.nytimes.com/2017/11/30/dining/khao-nom-review-thai-desserts-queens.html?rref=collection%2Fcollection%2Frestaurant-guide,gUpIzy5Sj3br68sQDF9U3Q,4,,
40,Ugly Baby,https://www.nytimes.com/2017/11/28/dining/ugly-baby-review-thai-brooklyn.html?rref=collection%2Fcollection%2Frestaurant-guide,,,,
41,Tito Rad’s Grill,https://www.nytimes.com/2017/11/24/dining/tito-rads-grill-review-queens.html?rref=collection%2Fcollection%2Frestaurant-guide,C7P5fqIdMKs85GiFNSVnpg,4.5,,
42,AbuQir Seafood,https://www.nytimes.com/2017/11/16/dining/abuqir-review-seafood-restaurant-queens.html?rref=collection%2Fcollection%2Frestaurant-guide,22oLtXuFsvbJnMlqtuC0fA,4.5,,
43,Cote,https://www.nytimes.com/2017/11/14/dining/cote-review-korean-barbecue.html?rref=collection%2Fcollection%2Frestaurant-guide,ywAq9nvr9jX1S7-_HjA5ng,4.5,,
45,PappaRich,https://www.nytimes.com/2017/11/09/dining/papparich-review-malaysian-food-queens.html?rref=collection%2Fcollection%2Frestaurant-guide,4PeBRQZgHMW80J5YIaT39A,4,,
46,Sen Sakana,https://www.nytimes.com/2017/11/07/dining/sen-sakana-review-peruvian-food-nikkei.html?rref=collection%2Fcollection%2Frestaurant-guide,,,,
48,Momofuku Ssam Bar,https://www.nytimes.com/2017/10/31/dining/momofuku-ssam-bar-review.html?rref=collection%2Fcollection%2Frestaurant-guide,7CdpBlw4NLaOLzfFL9IEUg,3.5,,
49,Boishakhi,https://www.nytimes.com/2017/10/26/dining/boishakhi-review-bangladeshi-restaurant-queens.html?rref=collection%2Fcollection%2Frestaurant-guide,,,,
50,Yuan,https://www.nytimes.com/2017/10/19/dining/yuan-review-chinese-noodles-nyc.html?rref=collection%2Fcollection%2Frestaurant-guide,xtxcAUvrD4dWHJd0cwvW1A,4,,
51,The Pool,https://www.nytimes.com/2017/10/17/dining/the-pool-review.html?rref=collection%2Fcollection%2Frestaurant-guide,OR9oqAJW-U5ZnqhwH12Nuw,4,,
52,Benyam,https://www.nytimes.com/2017/10/12/dining/ethiopian-food-benyam-review-harlem.html?rref=collection%2Fcollection%2Frestaurant-guide,e64Y17DJgjotSz8B9gEI7Q,4.5,,
53,Public Kitchen,https://www.nytimes.com/2017/10/10/dining/public-kitchen-review-jean-georges-vongerichten-nyc.html?rref=collection%2Fcollection%2Frestaurant-guide,seGYMEYsw6F_H33Md1E1dA,4,,
54,My Cuban Spot,https://www.nytimes.com/2017/10/05/dining/my-cuban-spot-review-brooklyn.html?rref=collection%2Fcollection%2Frestaurant-guide,,,,
55,Kopi Kopi,https://www.nytimes.com/2017/09/28/dining/indonesian-food-kopi-kopi-warung-selasa-review.html?rref=collection%2Fcollection%2Frestaurant-guide,8TfhQaCxux6Eq8SK8iqyoQ,5,,
56,Warung Selasa,https://www.nytimes.com/2017/09/28/dining/indonesian-food-kopi-kopi-warung-selasa-review.html?rref=collection%2Fcollection%2Frestaurant-guide,28CNHYULci66pJAz-0_pOg,4,,
57,Cervo’s,https://www.nytimes.com/2017/09/26/dining/cervos-review-restaurant.html?rref=collection%2Fcollection%2Frestaurant-guide,VA5axRu3No9IvHVu86zAvQ,4.5,,
58,Wu’s Wonton King,https://www.nytimes.com/2017/09/21/dining/wus-wonton-king-review-chinese-restaurant-nyc.html?rref=collection%2Fcollection%2Frestaurant-guide,iIcUpEOjMLuzAIfyY_vgYA,3.5,,
59,Prune,https://www.nytimes.com/2017/09/19/dining/prune-review.html?rref=collection%2Fcollection%2Frestaurant-guide,8tcFpd0dcmfzbLgbTO4tdw,4,,
60,Tradita,https://www.nytimes.com/2017/09/14/dining/tradita-review-albanian-restaurant-bronx.html?rref=collection%2Fcollection%2Frestaurant-guide,bOMXop8H92zupzxlVulfoA,4,,
61,Razza,https://www.nytimes.com/2017/09/12/dining/razza-pizza-review-jersey-city.html?rref=collection%2Fcollection%2Frestaurant-guide,1Ed-tb_0dBGrXfsYyehmvg,4,,
62,Prontito,https://www.nytimes.com/2017/09/07/dining/prontito-review-colombian-food-queens.html?rref=collection%2Fcollection%2Frestaurant-guide,j0n_poMVZnODYOFviLbh0Q,4.5,,
63,While in Kathmandu,https://www.nytimes.com/2017/08/31/dining/while-in-kathmandu-review-queens.html?rref=collection%2Fcollection%2Frestaurant-guide,GVaTZnN7a-DkrK57l7BbGw,4,,
64,Sami’s Kabab House,https://www.nytimes.com/2017/08/24/dining/samis-kabab-house-review-queens.html?rref=collection%2Fcollection%2Frestaurant-guide,Myp2rEB3yEcdaZIRe0S3Ww,3.5,,
65,The Grill,https://www.nytimes.com/2017/08/22/dining/the-grill-review-midtown.html?rref=collection%2Fcollection%2Frestaurant-guide,u3YHSsqkj-7Z1moxVWZCsg,3.5,,
66,Factory Tamal,https://www.nytimes.com/2017/08/17/dining/factory-tamal-review-mexican-food.html?rref=collection%2Fcollection%2Frestaurant-guide,2tTUnW5filzR3YG-G7rZ0w,5,,
